serial,english,part_of_speech,meaning,phonetics,banjara_english
299,building up the fire,unknown,,ān̄c jādākar,aanch jaadaakar
300,bulb,noun,,bugga,bugga
301,bull,noun,,baḷad,balad
302,bully,noun,,raḷēṭu,raletu
303,bump,noun,,phōḍā,phodaa
304,bundle,noun,,pāḷ,paal
305,burly ad,verb,,jāḍo,jaado
306,burn,verb,,bāḷēnam ̐,baalenam 
307,burning,verb,,baḷgō,balgo
308,burning fire,verb,,lāgro,laagro
309,burnt,noun,,baḷgō,balgo
310,burrow,unknown,,dalḍā,daldaa
311,bury,noun,,gāḍ,gaad
312,bush,unknown,,bockā,bochkaa
313,business organization,unknown,,vyāpār,vyaapaar
314,bust,noun,,chām̐tti,chhaamtti
315,but,conjunction,,napaṇ,napan
316,butcher,verb,,kāṭēr,kaater
317,butter,noun,,nūṇi,nuni
318,buttocks,unknown,,pūnd,pund
319,by the side of,noun,,sām,saam
320,by threatening,verb,,camkān,chamkaan
321,bygone,verb,,bujargojako,bujargojako
322,cabbage,noun,,kyābēji,kyaabeji
323,cabin,noun,,almār,almaar
324,calf,noun,,kēlḍā,keldaa
325,call,noun,,pakār,pakaar
326,calm,verb,,samjām ̐,samjaam 
327,camel,noun,,huṇṭaḍi,huntadi
328,can be given,unknown,,dēvāsu,devaasu
329,can get it,verb,,lāyesāru,laayesaaru
330,canal,noun,,kālvā,kaalvaa
331,cancel,verb,,khulānāk,khulaanaak
332,cancellation,noun,,rad,rad
333,candle,noun,,myāṇēr dīyō,myaaner diyo
334,cantankerous,noun,,kaḷeṅki,kalenki
335,capability,noun,,āyisat,aayisat
336,care,noun,,aṭkaḷēti,atkaleti
337,carefully ad,verb,,ḍhīlo,dhilo
338,carelessly ad,verb,,bagar aṭkaḷēti,bagar atkaleti
339,carpenter,noun,,khātti,khaatti
340,carpenters adze,noun,,bārṣā,baarshaa
341,carriage,noun,,ḍhaṅg,dhang
342,carve,verb,,chōl,chhol
343,case,noun,,kāraṇ,kaaran
344,cash,noun,,nagad,nagad
345,cashew nut tree,noun,,bhalāmār jhāḍ,bhalaamaar jhaad
346,caste,noun,,kaḷāl,kalaal
347,cat,noun,,bissi,bissi
348,catch,noun,,pakaḍ,pakad
349,caution,noun,,vakat,vakat
350,cavity,noun,,khōbo,khobo
351,cease,verb,,chōḍ,chhod
352,cemetery,noun,,masāṇ,masaan
353,centipede,noun,,jōg,jog
354,chafe,verb,,āg būkari,aag bukari
355,chaff,noun,,bālḍi,baaldi
356,chain,noun,,sāṅkaḍ,saankad
357,chair,noun,,kurci,kurchi
358,chameleon,noun,,ḍākṇo ghōḍo,daakno ghodo
359,chance,noun,,adan,adan
360,chant,verb,,bōlērō,bolero
361,character,noun,,āṅk,aank
362,charm,verb,,mantar mār,mantar maar
363,charming,adjective,,āccōdikāvajakō,aachchodikaavajako
364,charmingly ad,verb,,lāḍēti,laadeti
365,chase,verb,,bhaḍkāyēr,bhadkaayer
366,chase by running,unknown,,ḍapaṭ,dapat
367,cheated,adjective,,dhōkapaḍago,dhokapadago
368,check,noun,,khvālē,khvaale
369,check out,verb,,dēkerō,dekero
370,checking attendance,unknown,,āyēju dēk,aayeju dek
371,cheese,noun,,baḷi,bali
372,chest,noun,,chām̐tti,chhaamtti
373,chickpea,noun,,cengya,chengya
374,childbirth,noun,,pīḍē,pide
375,children,noun,,chucāpar,chhuchaapar
376,chilly,adjective,,marcā,marchaa
